,Total Loss,Val Loss
Epoch 1,4.885258883237839,3.5192591547966003
Epoch 2,3.8769604563713074,3.205582618713379
Epoch 3,3.971732497215271,2.8868753910064697
Epoch 4,3.898943990468979,2.0266276597976685
Epoch 5,3.901664912700653,1.8637700974941254
Epoch 6,3.8685132265090942,1.8206517100334167
Epoch 7,3.839059889316559,1.7184499204158783
Epoch 8,3.9216956198215485,1.6560820937156677
Epoch 9,3.9098560512065887,1.689458817243576
